iter	Passed	Remaining
493	576	590
494	577	589
495	578	587
496	579	586
497	580	585
498	581	584
499	582	582
500	584	581
501	585	580
502	586	579
503	587	577
504	587	576
505	588	574
506	589	573
507	590	571
508	591	570
509	592	569
510	593	568
511	594	566
512	594	564
513	596	563
514	597	562
515	598	561
516	599	559
517	600	558
518	600	556
519	601	555
520	602	553
521	603	552
522	604	551
523	605	549
524	606	548
525	607	547
526	608	545
527	609	544
528	610	543
529	611	542
530	612	540
531	613	539
532	614	538
533	615	537
534	616	536
535	617	534
536	618	533
537	619	532
538	620	531
539	622	529
540	623	528
541	624	527
542	625	526
543	626	525
544	627	523
545	628	522
546	629	521
547	630	519
548	631	518
549	632	517
550	633	516
551	634	515
552	636	514
553	637	513
554	638	511
555	639	510
556	640	509
557	641	508
558	643	507
559	644	506
560	645	504
561	645	503
562	646	501
563	647	500
564	648	499
565	649	497
566	650	496
567	650	495
568	651	493
569	652	492
570	653	490
571	654	489
572	655	488
573	656	487
574	657	485
575	658	484
576	659	483
577	659	481
578	660	480
579	661	479
580	662	478
581	663	476
582	664	475
583	665	474
584	666	473
585	667	471
586	668	470
587	669	469
588	670	468
589	672	467
590	672	465
591	673	464
592	674	462
593	675	461
594	676	460
595	677	459
596	678	457
597	679	456
598	680	455
599	681	454
600	682	453
601	684	452
602	685	451
603	686	450
604	687	448
605	688	447
606	689	446
607	690	445
608	691	444
609	692	442
610	693	441
611	694	440
612	695	439
613	697	438
614	698	437
615	699	436
616	700	435
617	701	433
618	702	432
619	704	431
620	705	430
621	706	429
622	707	428
623	708	426
624	709	425
625	710	424
626	712	423
627	713	422
628	714	421
629	715	420
630	716	419
631	718	418
632	719	417
633	720	415
634	721	414
635	722	413
636	723	412
637	724	410
638	724	409
639	725	408
640	726	406
641	727	405
642	728	404
643	728	402
644	729	401
645	730	400
646	731	399
647	732	397
648	733	396
649	734	395
650	735	394
651	735	392
652	737	391
653	738	390
654	739	389
655	739	387
656	740	386
657	741	385
658	742	384
659	743	382
660	743	381
661	745	380
662	746	379
663	746	377
664	747	376
665	748	375
666	749	374
667	750	372
668	751	371
669	752	370
670	753	369
671	754	368
672	756	367
673	757	366
674	758	365
675	759	364
676	760	363
677	761	361
678	762	360
679	764	359
680	764	358
681	766	357
682	767	356
683	768	354
684	769	353
685	770	352
686	771	351
687	772	350
688	773	349
689	774	348
690	776	347
691	777	345
692	778	344
693	779	343
694	780	342
695	781	341
696	782	340
697	783	338
698	784	337
699	785	336
700	786	335
701	788	334
702	789	333
703	790	332
704	791	331
705	793	330
706	793	329
707	794	327
708	795	326
709	796	325
710	797	324
711	798	323
712	800	322
713	801	321
714	802	320
715	804	318
716	805	317
717	805	316
718	806	315
719	807	314
720	808	312
721	809	311
722	810	310
723	811	309
724	812	308
725	813	307
726	814	305
727	815	304
728	817	303
729	818	302
730	819	301
731	820	300
732	821	299
733	823	298
734	824	297
735	825	295
736	826	294
737	827	293
738	828	292
739	829	291
740	830	290
741	831	289
742	833	288
743	834	287
744	835	286
745	837	285
746	838	283
747	839	282
748	840	281
749	842	280
750	843	279
751	844	278
752	845	277
753	846	276
754	847	275
755	848	273
756	849	272
757	851	271
758	852	270
759	853	269
760	854	268
761	855	267
762	857	266
763	858	265
764	859	264
765	860	262
766	861	261
767	863	260
768	864	259
769	865	258
770	866	257
771	868	256
772	869	255
773	870	254
774	871	253
775	873	252
776	874	251
777	875	249
778	877	248
779	878	247
780	879	246
781	880	245
782	881	244
783	882	243
784	883	242
785	884	240
786	885	239
787	887	238
788	888	237
789	889	236
790	891	235
791	892	234
792	893	233
793	894	232
794	895	230
795	896	229
796	897	228
797	898	227
798	899	226
799	900	225
800	902	224
801	903	223
802	904	221
803	906	220
804	907	219
805	908	218
806	909	217
807	910	216
808	911	215
809	913	214
810	914	213
811	915	211
812	916	210
813	917	209
814	918	208
815	919	207
816	921	206
817	922	205
818	923	204
819	924	202
820	925	201
821	927	200
822	928	199
823	929	198
824	930	197
825	931	196
826	933	195
827	934	194
828	935	193
829	936	191
830	938	190
831	939	189
832	940	188
833	941	187
834	942	186
835	943	185
836	944	183
837	945	182
838	946	181
839	947	180
840	948	179
841	949	178
842	950	177
843	951	175
844	952	174
845	953	173
846	955	172
847	956	171
848	956	170
849	957	168
850	958	167
851	959	166
852	960	165
853	962	164
854	963	163
855	964	162
856	965	161
857	966	160
858	968	158
859	969	157
860	970	156
861	971	155
862	972	154
863	973	153
864	974	152
865	975	150
866	976	149
867	977	148
868	979	147
869	980	146
870	981	145
871	982	144
872	983	143
873	984	141
874	985	140
875	986	139
876	987	138
877	988	137
878	989	136
879	990	135
880	992	134
881	993	132
882	994	131
883	995	130
884	996	129
885	998	128
886	999	127
887	1000	126
888	1001	125
889	1002	123
890	1003	122
891	1005	121
892	1006	120
893	1007	119
894	1008	118
895	1009	117
896	1010	116
897	1011	114
898	1012	113
899	1014	112
900	1015	111
901	1016	110
902	1017	109
903	1018	108
904	1020	107
905	1020	105
906	1021	104
907	1022	103
908	1023	102
909	1024	101
910	1025	100
911	1026	99
912	1027	97
913	1028	96
914	1029	95
915	1031	94
916	1032	93
917	1033	92
918	1034	91
919	1035	90
920	1037	88
921	1038	87
922	1039	86
923	1040	85
924	1041	84
925	1042	83
926	1043	82
927	1044	81
928	1045	79
929	1047	78
930	1047	77
931	1048	76
932	1049	75
933	1050	74
934	1051	73
935	1052	71
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1059	66
941	1060	65
942	1061	64
943	1062	63
944	1064	61
945	1065	60
946	1066	59
947	1068	58
948	1069	57
949	1071	56
950	1072	55
951	1073	54
952	1074	53
953	1076	51
954	1077	50
955	1079	49
956	1080	48
957	1081	47
958	1082	46
959	1083	45
960	1084	44
961	1085	42
962	1087	41
963	1088	40
964	1089	39
965	1090	38
966	1091	37
967	1092	36
968	1093	34
969	1094	33
970	1095	32
971	1097	31
972	1098	30
973	1099	29
974	1100	28
975	1102	27
976	1103	25
977	1104	24
978	1105	23
979	1106	22
980	1107	21
981	1108	20
982	1109	19
983	1110	18
984	1112	16
985	1113	15
986	1114	14
987	1115	13
988	1117	12
989	1118	11
990	1119	10
991	1120	9
992	1121	7
993	1122	6
994	1123	5
995	1125	4
996	1126	3
997	1127	2
998	1128	1
999	1129	0
